System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:53:24:731, 345284011094800,    0.495,   14.000,  800,  14.502,   7.182,   1.995,  10.556,   5.227,   1.452, 39,  0,   1.508,   0.747,   0.207,   2.326,   1.152,   0.320, 107.000, 107.000, 163.000,   0.000,   0.000,  373,  74.087
09:53:25:113, 345285002087266,    0.878,   12.000, 3500,  15.640,  13.161,   3.656,  11.794,   9.737,   2.705, 54,  0,   1.471,   1.309,   0.364,   2.233,   2.006,   0.557, 107.000, 107.000, 163.000,   0.000,   0.000,  365,  65.068
09:53:25:433, 345285835989576,    1.199,   12.000, 3600,  16.701,  18.535,   5.148,  12.917,  13.892,   3.859, 50,  0,   1.482,   1.786,   0.496,   2.211,   2.717,   0.755, 107.000, 107.000, 163.000,   0.000,   0.000,  326,  53.192
09:53:25:671, 345286457730192,    1.439,   12.000, 3600,  17.046,  22.623,   6.284,  12.986,  17.007,   4.724, 54,  0,   1.460,   2.136,   0.593,   2.432,   3.300,   0.917, 107.000, 107.000, 163.000,   0.000,   0.000,  365,  70.706
09:53:25:897, 345287036554534,    1.662,   13.000, 3500,  16.921,  26.402,   7.334,  13.010,  19.912,   5.531, 50,  0,   1.532,   2.478,   0.688,   2.300,   3.814,   1.059, 107.000, 107.000, 163.000,   0.000,   0.000,  351,  56.019
09:53:26:074, 345287510611190,    1.845,   12.000, 3600,  16.919,  29.496,   8.193,  12.844,  22.261,   6.184, 48,  0,   1.508,   2.754,   0.765,   2.475,   4.267,   1.185, 107.000, 107.000, 163.000,   0.000,   0.000,  416,  50.506
09:53:26:250, 345287953344100,    2.016,   12.000, 3600,  17.132,  32.423,   9.006,  13.140,  24.506,   6.807, 53,  0,   1.547,   3.018,   0.838,   2.316,   4.662,   1.295, 107.000, 107.000, 163.000,   0.000,   0.000,  321,  71.660
09:53:26:387, 345288305830788,    2.152,   16.000, 3600,  17.027,  34.738,   9.649,  13.004,  26.274,   7.298, 51,  0,   1.425,   3.212,   0.892,   2.434,   4.993,   1.387, 107.000, 107.000, 163.000,   0.000,   0.000,  409,  56.079
09:53:26:534, 345288685711032,    2.299,   13.000, 3600,  18.066,  37.386,  10.385,  14.339,  28.376,   7.882, 48,  0,   1.486,   3.430,   0.953,   2.043,   5.293,   1.470, 107.000, 107.000, 163.000,   0.000,   0.000,  307,  65.143
09:53:26:636, 345288963032506,    2.406,   10.000, 3600,  16.544,  39.156,  10.877,  12.789,  29.744,   8.262, 47,  0,   1.476,   3.588,   0.997,   2.149,   5.523,   1.534, 107.000, 107.000, 163.000,   0.000,   0.000,  343,  14.626
09:53:26:715, 345289154475921,    2.480,   14.000,  900,  13.052,  40.120,  11.144,   8.653,  30.383,   8.440, 41,  0,   1.527,   3.700,   1.028,   2.753,   5.726,   1.591, 107.000, 107.000, 163.000,   0.000,   0.000,  434,   2.271
09:53:26:836, 345289466519889,    2.600,   10.000, 2800,   8.841,  41.184,  11.440,   5.128,  31.001,   8.611, 39,  0,   1.420,   3.871,   1.075,   2.149,   5.985,   1.662, 107.000, 107.000, 163.000,   0.000,   0.000,  398,  67.250
09:53:26:941, 345289739277570,    2.705,   11.000, 2600,  15.083,  42.771,  11.881,  11.411,  32.201,   8.945, 41,  0,   1.570,   4.036,   1.121,   1.991,   6.194,   1.721, 107.000, 107.000, 163.000,   0.000,   0.000,  319,  69.119
09:53:27:046, 345290010691636,    2.810,   13.000,  900,  15.571,  44.402,  12.334,  11.362,  33.391,   9.275, 43,  0,   1.469,   4.190,   1.164,   2.602,   6.467,   1.796, 107.000, 107.000, 163.000,   0.000,   0.000,  423,  68.402
09:53:27:166, 345290333100232,    2.934,   12.000, 3600,  14.372,  46.190,  12.830,  10.713,  34.724,   9.645, 51,  0,   1.417,   4.367,   1.213,   2.165,   6.736,   1.871, 107.000, 107.000, 163.000,   0.000,   0.000,  396,  65.385
09:53:27:277, 345290627916732,    3.048,   13.000, 3600,  16.711,  48.090,  13.358,  13.120,  36.216,  10.060, 52,  0,   1.465,   4.533,   1.259,   1.966,   6.960,   1.933, 107.000, 107.000, 163.000,   0.000,   0.000,  301,  70.159
09:53:27:372, 345290854870794,    3.136,   14.000, 2600,  17.812,  49.650,  13.792,  13.296,  37.380,  10.383, 47,  0,   1.614,   4.674,   1.298,   2.781,   7.203,   2.001, 107.000, 107.000, 163.000,   0.000,   0.000,  343,  70.144
09:53:27:492, 345291167588273,    3.256,   18.000, 2800,  15.154,  51.478,  14.300,  11.149,  38.725,  10.757, 43,  0,   1.450,   4.849,   1.347,   2.447,   7.498,   2.083, 107.000, 107.000, 163.000,   0.000,   0.000,  431,  59.780
09:53:27:607, 345291464534304,    3.371,   19.000, 3000,  19.249,  53.684,  14.912,  15.219,  40.469,  11.241, 49,  0,   1.596,   5.032,   1.398,   2.336,   7.766,   2.157, 107.000, 107.000, 163.000,   0.000,   0.000,  416,  64.749
09:53:27:716, 345291751506298,    3.481,   19.000, 3600,  21.323,  56.044,  15.568,  17.450,  42.401,  11.778, 53,  0,   1.619,   5.212,   1.448,   2.104,   7.999,   2.222, 107.000, 107.000, 163.000,   0.000,   0.000,  343,  78.028
09:53:27:820, 345292017403589,    3.584,   19.000, 2600,  20.925,  58.191,  16.164,  16.885,  44.133,  12.259, 49,  0,   1.662,   5.382,   1.495,   2.391,   8.244,   2.290, 107.000, 107.000, 163.000,   0.000,   0.000,  336,  67.875
09:53:27:943, 345292338772580,    3.708,   25.000, 3100,  20.536,  60.737,  16.871,  16.542,  46.184,  12.829, 48,  0,   1.674,   5.590,   1.553,   2.286,   8.528,   2.369, 107.000, 107.000, 163.000,   0.000,   0.000,  393,  64.374
09:53:28:093, 345292724556410,    3.857,   28.000, 2700,  20.801,  63.833,  17.731,  16.652,  48.662,  13.517, 45,  0,   1.745,   5.849,   1.625,   2.360,   8.879,   2.466, 107.000, 107.000, 163.000,   0.000,   0.000,  390,  66.103
09:53:28:270, 345293185630806,    4.035,   20.000, 3200,  21.601,  67.675,  18.799,  17.547,  51.783,  14.384, 50,  0,   1.855,   6.179,   1.716,   2.186,   9.268,   2.574, 107.000, 107.000, 163.000,   0.000,   0.000,  388,  41.915
09:53:28:398, 345293522414492,    4.165,   21.000, 3600,  21.213,  70.432,  19.564,  17.238,  54.023,  15.006, 53,  0,   1.492,   6.373,   1.770,   2.334,   9.571,   2.659, 107.000, 107.000, 163.000,   0.000,   0.000,  410,  58.558
09:53:28:552, 345293917812296,    4.317,   19.000, 3100,  20.497,  73.558,  20.433,  16.645,  56.562,  15.712, 49,  0,   1.546,   6.609,   1.836,   2.247,   9.913,   2.754, 107.000, 107.000, 163.000,   0.000,   0.000,  399,  57.946
09:53:28:694, 345294285997388,    4.459,   24.000, 2600,  20.404,  76.457,  21.238,  16.154,  58.857,  16.349, 50,  0,   1.570,   6.832,   1.898,   2.570,  10.279,   2.855, 107.000, 107.000, 163.000,   0.000,   0.000,  405,  28.804
09:53:28:791, 345294539367186,    4.557,   21.000, 3500,  20.119,  78.423,  21.784,  16.771,  60.496,  16.805, 47,  0,   1.759,   7.004,   1.946,   1.479,  10.423,   2.895, 107.000, 107.000, 163.000,   0.000,   0.000,  231,  18.290
09:53:28:823, 345294625759716,    4.590,   14.000, 3500,  21.101,  79.127,  21.980,  16.684,  61.052,  16.959, 50,  0,   1.611,   7.058,   1.960,   2.822,  10.517,   2.921, 107.000, 107.000, 163.000,   0.000,   0.000,  363,   9.735
09:53:28:927, 345294888449732,    4.692,   19.000, 3500,  15.975,  80.745,  22.429,  11.981,  62.267,  17.296, 47,  0,   1.572,   7.217,   2.005,   2.172,  10.737,   2.983, 107.000, 107.000, 163.000,   0.000,   0.000,  361,  25.886
09:53:29:041, 345295183300305,    4.805,   19.000, 2800,  16.610,  82.635,  22.954,  12.672,  63.708,  17.697, 44,  0,   1.599,   7.399,   2.055,   2.262,  10.995,   3.054, 107.000, 107.000, 163.000,   0.000,   0.000,  420,  30.474
09:53:29:145, 345295450428060,    4.909,   16.000, 2700,  19.752,  84.670,  23.520,  16.073,  65.365,  18.157, 49,  0,   1.632,   7.567,   2.102,   1.877,  11.188,   3.108, 107.000, 107.000, 163.000,   0.000,   0.000,  290,  30.248
09:53:29:257, 345295743192391,    5.021,   21.000, 2300,  20.272,  86.960,  24.156,  13.811,  66.925,  18.590, 46,  0,   1.800,   7.771,   2.158,   4.638,  11.712,   3.253, 107.000, 107.000, 163.000,   0.000,   0.000,  606,  28.073
09:53:29:379, 345296061448584,    5.144,   24.000, 2400,  19.878,  89.401,  24.834,  12.287,  68.433,  19.009, 47,  0,   1.636,   7.971,   2.214,   5.974,  12.445,   3.457, 107.000, 107.000, 163.000,   0.000,   0.000,  930,  33.454
09:53:29:584, 345296592046158,    5.349,   30.000, 2600,  20.202,  93.536,  25.982,  11.273,  70.741,  19.650, 44,  0,   1.889,   8.358,   2.322,   7.041,  13.887,   3.857, 107.000, 107.000, 163.000,   0.000,   0.000,  938,  60.840
09:53:29:937, 345297510108452,    5.703,   17.000, 2500,  20.838, 100.917,  28.032,  11.972,  74.981,  20.828, 46,  0,   1.870,   9.021,   2.506,   7.026,  16.375,   4.549, 107.000, 107.000, 163.000,   0.000,   0.000,  989,  44.575
09:53:30:401, 345298724039498,    6.172,   17.000, 3500,  19.576, 110.085,  30.579,  10.194,  79.755,  22.154, 45,  0,   1.758,   9.844,   2.734,   7.609,  19.939,   5.538, 107.000, 107.000, 163.000,   0.000,   0.000,  997,  46.583
09:53:30:835, 345299840866436,    6.602,   15.000, 3300,  19.657, 118.555,  32.932,  10.765,  84.394,  23.443, 46,  0,   1.719,  10.584,   2.940,   7.122,  23.007,   6.391, 107.000, 107.000, 163.000,   0.000,   0.000,  970,  47.810
09:53:31:255, 345300923988094,    7.020,   16.000, 2700,  19.535, 126.718,  35.199,  10.470,  88.769,  24.658, 51,  0,   1.717,  11.302,   3.139,   7.278,  26.049,   7.236, 107.000, 107.000, 163.000,   0.000,   0.000,  976,  45.813
09:53:31:723, 345302151138902,    7.494,   16.000, 2800,  19.014, 135.720,  37.700,   9.798,  93.408,  25.947, 46,  0,   1.778,  12.144,   3.373,   7.401,  29.552,   8.209, 107.000, 107.000, 163.000,   0.000,   0.000,  964,  54.303
09:53:32:138, 345303216066800,    7.905,   14.000, 3300,  19.264, 143.634,  39.898,  10.997,  97.926,  27.202, 48,  0,   1.724,  12.852,   3.570,   6.496,  32.222,   8.950, 107.000, 107.000, 163.000,   0.000,   0.000,  934,  47.675
09:53:32:538, 345304262331094,    8.308,   14.000, 2600,  19.431, 151.478,  42.077,  11.374, 102.517,  28.477, 44,  0,   1.679,  13.529,   3.758,   6.349,  34.784,   9.662, 107.000, 107.000, 163.000,   0.000,   0.000,  910,  53.854
09:53:32:931, 345305281246328,    8.701,   14.000, 3000,  19.157, 159.008,  44.169,  11.603, 107.078,  29.744, 47,  0,   1.748,  14.216,   3.949,   5.775,  37.054,  10.293, 107.000, 107.000, 163.000,   0.000,   0.000,  866,  52.036
09:53:33:330, 345306299212732,    9.094,   14.000, 3400,  18.513, 166.279,  46.189,  11.795, 111.710,  31.031, 45,  0,   1.588,  14.840,   4.122,   5.022,  39.026,  10.841, 107.000, 107.000, 163.000,   0.000,   0.000,  842,  46.470
09:53:33:705, 345307273206218,    9.470,   14.000, 2900,  18.545, 173.247,  48.124,  11.760, 116.129,  32.258, 47,  0,   1.699,  15.479,   4.300,   5.025,  40.915,  11.365, 107.000, 107.000, 163.000,   0.000,   0.000,  825,  47.127
09:53:34:081, 345308251647978,    9.847,   13.000, 3600,  18.465, 180.218,  50.060,  12.201, 120.735,  33.537, 54,  0,   1.695,  16.119,   4.477,   4.542,  42.629,  11.841, 107.000, 107.000, 163.000,   0.000,   0.000,  776,  47.745
09:53:34:466, 345309251159170,   10.233,   16.000, 3400,  18.091, 187.194,  51.998,  12.060, 125.385,  34.829, 48,  0,   1.683,  16.768,   4.658,   4.273,  44.277,  12.299, 107.000, 107.000, 163.000,   0.000,   0.000,  716,  61.575
09:53:34:841, 345310226940034,   10.609,   14.000, 3500,  17.433, 193.756,  53.821,  13.138, 130.331,  36.203, 46,  0,   1.616,  17.376,   4.827,   2.607,  45.258,  12.572, 107.000, 107.000, 163.000,   0.000,   0.000,  374,  50.759
09:53:35:108, 345310922285792,   10.878,   12.000, 3400,  17.662, 198.495,  55.137,  13.135, 133.855,  37.182, 51,  0,   1.645,  17.817,   4.949,   2.780,  46.004,  12.779, 107.000, 107.000, 163.000,   0.000,   0.000,  414,  59.839
09:53:35:337, 345311510318249,   11.104,   12.000, 3600,  16.618, 202.265,  56.185,  12.129, 136.606,  37.946, 49,  0,   1.629,  18.187,   5.052,   2.780,  46.635,  12.954, 107.000, 107.000, 163.000,   0.000,   0.000,  414,  44.235
09:53:35:489, 345311898615046,   11.254,   14.000, 3500,  17.271, 204.852,  56.903,  12.574, 138.490,  38.469, 52,  0,   1.699,  18.441,   5.123,   2.997,  47.084,  13.079, 107.000, 107.000, 163.000,   0.000,   0.000,  461,  71.352
09:53:35:625, 345312249651098,   11.390,   12.000, 3600,  16.905, 207.141,  57.539,  12.901, 140.237,  38.955, 52,  0,   1.500,  18.645,   5.179,   2.334,  47.400,  13.167, 107.000, 107.000, 163.000,   0.000,   0.000,  348,  53.372
09:53:35:715, 345312502265402,   11.487,   13.000, 3600,  16.899, 208.788,  57.997,  12.648, 141.470,  39.297, 53,  0,   1.579,  18.799,   5.222,   2.641,  47.657,  13.238, 107.000, 107.000, 163.000,   0.000,   0.000,  390,  32.834
09:53:35:787, 345312668009895,   11.551,   12.000, 2600,  16.147, 209.821,  58.284,  12.398, 142.263,  39.517, 45,  0,   1.738,  18.910,   5.253,   1.976,  47.784,  13.273, 107.000, 107.000, 163.000,   0.000,   0.000,  321,  17.182
09:53:35:891, 345312937610147,   11.655,   15.000,  900,   8.251, 210.679,  58.522,   4.842, 142.766,  39.657, 40,  0,   1.370,  19.052,   5.292,   1.806,  47.972,  13.325, 107.000, 107.000, 163.000,   0.000,   0.000,  289,   3.422
09:53:36:004, 345313229249689,   11.768,   12.000, 2700,  13.474, 212.195,  58.943,   8.873, 143.764,  39.935, 41,  0,   1.681,  19.241,   5.345,   2.832,  48.290,  13.414, 107.000, 107.000, 163.000,   0.000,   0.000,  436,  25.118
09:53:36:116, 345313520090702,   11.880,   11.000, 2600,  11.795, 213.519,  59.311,   7.759, 144.635,  40.176, 42,  0,   1.633,  19.424,   5.396,   2.354,  48.554,  13.487, 107.000, 107.000, 163.000,   0.000,   0.000,  373,  34.929
09:53:36:221, 345313794355799,   11.986,   11.000, 2600,  12.521, 214.844,  59.679,   8.673, 145.553,  40.431, 41,  0,   1.528,  19.586,   5.441,   2.205,  48.788,  13.552, 107.000, 107.000, 163.000,   0.000,   0.000,  344,  44.412
09:53:36:325, 345314063364878,   12.089,   11.000, 2200,  12.146, 216.104,  60.029,   8.788, 146.465,  40.685, 41,  0,   1.383,  19.730,   5.480,   1.869,  48.982,  13.606, 107.000, 107.000, 163.000,   0.000,   0.000,  302,  43.908
09:53:36:439, 345314357770352,   12.203,    9.000, 2900,  10.537, 217.301,  60.361,   6.563, 147.210,  40.892, 41,  0,   1.608,  19.912,   5.531,   2.213,  49.233,  13.676, 107.000, 107.000, 163.000,   0.000,   0.000,  374,  54.526
09:53:36:543, 345314628478454,   12.307,   12.000, 2800,  12.941, 218.652,  60.737,   9.242, 148.176,  41.160, 42,  0,   1.443,  20.063,   5.573,   2.101,  49.452,  13.737, 107.000, 107.000, 163.000,   0.000,   0.000,  347,  59.460
09:53:36:668, 345314950609452,   12.432,   10.000, 2600,  13.027, 220.271,  61.186,   9.294, 149.331,  41.481, 42,  0,   1.498,  20.249,   5.625,   2.123,  49.716,  13.810, 107.000, 107.000, 163.000,   0.000,   0.000,  301,  50.347
09:53:36:789, 345315264702228,   12.553,   14.000, 2600,  13.825, 221.947,  61.652,   9.596, 150.493,  41.804, 45,  0,   1.586,  20.441,   5.678,   2.587,  50.030,  13.897, 107.000, 107.000, 163.000,   0.000,   0.000,  400,  41.533
09:53:36:902, 345315557939949,   12.666,   11.000, 1600,  12.520, 223.363,  62.045,   8.687, 151.476,  42.077, 41,  0,   1.695,  20.633,   5.731,   2.088,  50.266,  13.963, 107.000, 107.000, 163.000,   0.000,   0.000,  337,  43.158
09:53:37:067, 345315996772016,   12.835,   12.000, 3600,  14.556, 225.827,  62.730,  10.929, 153.327,  42.591, 46,  0,   1.389,  20.868,   5.797,   2.128,  50.626,  14.063, 107.000, 107.000, 163.000,   0.000,   0.000,  346,  67.028
09:53:37:193, 345316319677138,   12.960,   13.000, 3600,  15.873, 227.805,  63.279,  11.524, 154.762,  42.989, 51,  0,   1.717,  21.082,   5.856,   2.525,  50.941,  14.150, 107.000, 107.000, 163.000,   0.000,   0.000,  374,  48.535
09:53:37:263, 345316513906918,   13.035,   10.000, 3600,  16.737, 229.059,  63.628,  13.220, 155.753,  43.265, 52,  0,   1.342,  21.183,   5.884,   1.961,  51.088,  14.191, 107.000, 107.000, 163.000,   0.000,   0.000,  287,  54.408
09:53:37:336, 345316683220148,   13.100,   12.000, 2800,  14.518, 230.007,  63.891,  11.075, 156.476,  43.466, 43,  0,   1.484,  21.280,   5.911,   1.873,  51.210,  14.225, 107.000, 107.000, 163.000,   0.000,   0.000,  352,   3.947
09:53:37:446, 345316967105632,   13.210,   11.000, 1000,   8.644, 230.954,  64.154,   4.638, 156.984,  43.607, 41,  0,   1.374,  21.430,   5.953,   2.392,  51.472,  14.298, 107.000, 107.000, 163.000,   0.000,   0.000,  490,   0.515
09:53:37:551, 345317240715782,   13.315,   10.000, 2700,  11.618, 232.180,  64.495,   8.015, 157.830,  43.842, 43,  0,   1.507,  21.589,   5.997,   2.116,  51.695,  14.360, 107.000, 107.000, 163.000,   0.000,   0.000,  324,  61.977
09:53:37:664, 345317532787267,   13.428,   10.000, 2700,  13.961, 233.754,  64.932,  10.008, 158.958,  44.155, 41,  0,   1.527,  21.761,   6.045,   2.219,  51.945,  14.429, 107.000, 107.000, 163.000,   0.000,   0.000,  347,  16.396
09:53:37:769, 345317805337905,   13.533,   11.000, 2700,  10.613, 234.870,  65.242,   7.183, 159.713,  44.365, 41,  0,   1.532,  21.922,   6.090,   1.802,  52.135,  14.482, 107.000, 107.000, 163.000,   0.000,   0.000,  305,  19.678
09:53:37:873, 345318074906463,   13.637,   11.000, 1700,  10.746, 235.987,  65.552,   6.778, 160.418,  44.561, 42,  0,   1.531,  22.082,   6.134,   2.311,  52.375,  14.549, 107.000, 107.000, 163.000,   0.000,   0.000,  438,  12.372
09:53:37:993, 345318384632221,   13.757,   11.000, 2800,  12.550, 237.487,  65.969,   8.471, 161.430,  44.842, 41,  0,   1.457,  22.256,   6.182,   2.432,  52.666,  14.629, 107.000, 107.000, 163.000,   0.000,   0.000,  433,  22.368
09:53:38:097, 345318654361117,   13.861,   12.000, 2700,  13.941, 238.938,  66.372,  10.547, 162.528,  45.147, 42,  0,   1.532,  22.415,   6.226,   1.767,  52.850,  14.680, 107.000, 107.000, 163.000,   0.000,   0.000,  293,  24.647
09:53:38:201, 345318924725702,   13.965,    9.000, 2300,  10.810, 240.065,  66.685,   6.929, 163.251,  45.347, 41,  0,   1.446,  22.566,   6.268,   2.311,  53.091,  14.747, 107.000, 107.000, 163.000,   0.000,   0.000,  437,  15.334
09:53:38:321, 345319235310497,   14.085,   12.000, 2600,  12.148, 241.521,  67.089,   8.129, 164.225,  45.618, 41,  0,   1.431,  22.738,   6.316,   2.430,  53.382,  14.828, 107.000, 107.000, 163.000,   0.000,   0.000,  431,  28.114
09:53:38:432, 345319524835695,   14.196,   12.000,  900,  12.643, 242.933,  67.481,   9.132, 165.245,  45.901, 41,  0,   1.516,  22.907,   6.363,   1.870,  53.591,  14.886, 107.000, 107.000, 163.000,   0.000,   0.000,  306,  37.672
09:53:38:537, 345319794734886,   14.301,   11.000, 3000,  10.357, 244.011,  67.781,   6.563, 165.928,  46.091, 41,  0,   1.470,  23.060,   6.406,   2.202,  53.820,  14.950, 107.000, 107.000, 163.000,   0.000,   0.000,  387,  42.299
09:53:38:642, 345320067154129,   14.406,   10.000, 2700,  12.936, 245.371,  68.159,   9.075, 166.882,  46.356, 41,  0,   1.448,  23.212,   6.448,   2.278,  54.059,  15.016, 107.000, 107.000, 163.000,   0.000,   0.000,  425,  37.632
09:53:38:753, 345320355497398,   14.517,    9.000, 2700,  12.573, 246.770,  68.547,   9.284, 167.915,  46.643, 41,  0,   1.434,  23.372,   6.492,   1.723,  54.251,  15.070, 107.000, 107.000, 163.000,   0.000,   0.000,  288,  37.243
09:53:38:857, 345320624757668,   14.621,    9.000, 2700,  12.518, 248.070,  68.908,   9.084, 168.858,  46.905, 41,  0,   1.528,  23.530,   6.536,   1.782,  54.436,  15.121, 107.000, 107.000, 163.000,   0.000,   0.000,  301,  39.618
09:53:38:968, 345320914294818,   14.733,   17.000, 2000,  11.814, 249.390,  69.275,   8.222, 169.777,  47.160, 42,  0,   1.565,  23.705,   6.585,   1.927,  54.651,  15.181, 107.000, 107.000, 163.000,   0.000,   0.000,  317,  44.159
09:53:39:089, 345321226293578,   14.853,   11.000, 2800,  12.139, 250.851,  69.681,   8.148, 170.758,  47.433, 41,  0,   1.564,  23.893,   6.637,   2.340,  54.933,  15.259, 107.000, 107.000, 163.000,   0.000,   0.000,  421,  56.792
09:53:39:209, 345321542797860,   14.975,   13.000, 3500,  15.327, 252.722,  70.201,  11.365, 172.145,  47.818, 54,  0,   1.510,  24.078,   6.688,   2.416,  55.228,  15.341, 107.000, 107.000, 163.000,   0.000,   0.000,  417,  58.000
09:53:39:329, 345321851755642,   15.094,   12.000, 3600,  15.891, 254.617,  70.727,  12.284, 173.609,  48.225, 53,  0,   1.476,  24.254,   6.737,   2.002,  55.467,  15.407, 107.000, 107.000, 163.000,   0.000,   0.000,  295,  62.015
09:53:39:421, 345322095593816,   15.188,   15.000, 3600,  16.606, 256.179,  71.161,  12.441, 174.780,  48.550, 49,  0,   1.416,  24.387,   6.774,   2.611,  55.713,  15.476, 107.000, 107.000, 163.000,   0.000,   0.000,  422,  68.288
09:53:39:517, 345322344334372,   15.284,   13.000, 3600,  16.984, 257.809,  71.613,  13.070, 176.034,  48.898, 52,  0,   1.393,  24.521,   6.811,   2.349,  55.938,  15.538, 107.000, 107.000, 163.000,   0.000,   0.000,  407,  53.260
09:53:39:630, 345322628488092,   15.394,   15.000,  900,  15.711, 259.531,  72.092,  11.785, 177.326,  49.257, 43,  0,   1.563,  24.692,   6.859,   2.187,  56.178,  15.605, 107.000, 107.000, 163.000,   0.000,   0.000,  321,  52.843
09:53:39:735, 345322900403548,   15.499,   13.000, 2800,  12.253, 260.816,  72.449,   8.424, 178.210,  49.503, 46,  0,   1.410,  24.840,   6.900,   2.280,  56.417,  15.671, 107.000, 107.000, 163.000,   0.000,   0.000,  421,  47.890
09:53:39:849, 345323196480870,   15.613,   10.000, 3200,  15.294, 262.563,  72.934,  11.185, 179.487,  49.858, 43,  0,   1.566,  25.019,   6.950,   2.417,  56.693,  15.748, 107.000, 107.000, 163.000,   0.000,   0.000,  424,  44.894
09:53:39:969, 345323512746274,   15.735,   13.000, 2800,  14.192, 264.295,  73.415,  10.431, 180.760,  50.211, 44,  0,   1.546,  25.207,   7.002,   2.119,  56.952,  15.820, 107.000, 107.000, 163.000,   0.000,   0.000,  315,  55.606
09:53:40:067, 345323761523416,   15.831,   13.000,  900,  15.201, 265.754,  73.821,  11.232, 181.838,  50.511, 43,  0,   1.456,  25.347,   7.041,   2.346,  57.177,  15.882, 107.000, 107.000, 163.000,   0.000,   0.000,  396,  65.584
09:53:40:196, 345324097526304,   15.961,   13.000, 3600,  14.726, 267.663,  74.351,  10.549, 183.206,  50.890, 54,  0,   1.532,  25.546,   7.096,   2.517,  57.503,  15.973, 107.000, 107.000, 163.000,   0.000,   0.000,  418,  62.735
09:53:40:308, 345324400636156,   16.078,   14.000, 3600,  15.492, 269.475,  74.854,  12.065, 184.616,  51.282, 49,  0,   1.437,  25.714,   7.143,   1.842,  57.718,  16.033, 107.000, 107.000, 163.000,   0.000,   0.000,  282,  65.063
